grid_id,slope_degrees,aspect_class,land_cover_class,soil_texture_class,drainage_distance_m,iso_week,cumulative_rainfall_mm,ndvi,slope_score,rainfall_score,ndvi_score,drainage_score,landuse_score,soil_score,aspect_score,masked
LS-00001,24.594226846262494,E,Tree cover,clay loam,11541.715773662077,2026-W30,4.636874675750732,0.8457389405542767,3,1,1,1,1,4,3,False
LS-00002,28.319178168355126,E,Tree cover,clay loam,11344.277136631712,2026-W30,4.636874675750732,0.8389711778214594,3,1,1,1,1,4,3,False
LS-00003,32.15970967373949,SW,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.7671452454546033,4,1,1,1,1,4,4,False
LS-00004,20.105235141705958,SE,Tree cover,clay loam,11720.62580711305,2026-W30,4.636874675750732,0.8113865871637457,3,1,1,1,1,4,4,False
LS-00005,33.01485669421047,SE,Tree cover,clay loam,11694.395508068432,2026-W30,4.636874675750732,0.8262660037705752,4,1,1,1,1,4,4,False
LS-00006,29.00248894956549,SW,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.7990868021333495,3,1,1,1,1,4,4,False
LS-00007,15.552033514054388,S,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8265459313919146,3,1,1,1,1,4,4,False
LS-00008,21.205099577051822,SE,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8347909750807273,3,1,1,1,1,4,4,False
LS-00009,32.25093080457175,N,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8547575091679562,4,1,1,1,1,4,2,False
LS-00010,18.42526897880701,NE,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8480237309450397,3,1,1,1,1,4,2,False
LS-00011,28.027950230319,NE,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8549467783792308,3,1,1,1,1,4,2,False
LS-00012,24.839733466350797,NE,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8673215540138425,3,1,1,1,1,4,2,False
LS-00013,29.163966905327644,NE,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8531286943316362,3,1,1,1,1,4,2,False
LS-00014,29.166068074189717,NE,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8594969245595419,3,1,1,1,1,4,2,False
LS-00015,22.243277595262683,N,Tree cover,sandy clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8703852643985595,3,1,1,1,1,4,2,False
LS-00016,40.97662222016216,SW,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.7682443964110557,4,1,1,1,1,4,4,False
LS-00017,30.951991779933884,SW,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8045136151568241,4,1,1,1,1,4,4,False
LS-00018,23.464928515701423,NE,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8239924332064164,3,1,1,1,1,4,2,False
LS-00019,45.35181959105978,SW,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.7711223142868746,5,1,1,1,1,4,4,False
LS-00020,26.913745128578288,E,Tree cover,clay loam,11742.190855787943,2026-W30,4.636874675750732,0.8107446996112792,3,1,1,1,1,4,3,False
