grid_id,slope_degrees,aspect_class,land_cover_class,soil_texture_class,drainage_distance_m
LS-00001,24.594226846262494,E,Tree cover,clay loam,11541.715773662077
LS-00002,28.319178168355126,E,Tree cover,clay loam,11344.277136631712
LS-00003,32.159709966899264,SW,Tree cover,clay loam,11742.190855787943
LS-00004,20.105235037949562,SE,Tree cover,clay loam,11720.62580711305
LS-00005,33.014857070367505,SE,Tree cover,clay loam,11694.395508068432
LS-00006,29.002488984961964,SW,Tree cover,clay loam,11742.190855787943
LS-00007,15.55203351250351,S,Tree cover,clay loam,11742.190855787943
LS-00008,21.205099666002884,SE,Tree cover,clay loam,11742.190855787943
LS-00009,32.25093053282378,N,Tree cover,clay loam,11742.190855787943
LS-00010,18.425269044416613,NE,Tree cover,clay loam,11742.190855787943
LS-00011,28.027950288858968,NE,Tree cover,clay loam,11742.190855787943
LS-00012,24.839733555819645,NE,Tree cover,clay loam,11742.190855787943
LS-00013,29.163967001574594,NE,Tree cover,clay loam,11742.190855787943
LS-00014,29.16606817496799,NE,Tree cover,clay loam,11742.190855787943
LS-00015,22.24327750708624,N,Tree cover,sandy clay loam,11742.190855787943
LS-00016,40.97662102169461,SW,Tree cover,clay loam,11742.190855787943
LS-00017,30.951991660952228,SW,Tree cover,clay loam,11742.190855787943
LS-00018,23.464928327089538,NE,Tree cover,clay loam,11742.190855787943
LS-00019,45.351819953431956,SW,Tree cover,clay loam,11742.190855787943
LS-00020,26.91374530806609,E,Tree cover,clay loam,11742.190855787943
LS-00021,39.86441102066661,SW,Tree cover,clay loam,11742.190855787943
LS-00022,26.187494097647424,NE,Tree cover,clay loam,11742.190855787943
LS-00023,28.78111929071475,NE,Tree cover,clay loam,11742.190855787943
LS-00024,24.432960576389437,E,Tree cover,clay loam,11742.190855787943
LS-00025,27.40719420897486,SE,Tree cover,clay loam,11445.524598344697
LS-00026,27.079219681876044,SE,Tree cover,clay loam,11445.524598344697
LS-00027,27.4237930294546,SE,Tree cover,sandy clay loam,11683.552357151373
