grid_id,iso_week,score_255,risk_category,factor_breakdown
LS-00001,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00002,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00003,2026-W31,0.0,masked,"{'slope_score': 4.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00004,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00005,2026-W31,0.0,masked,"{'slope_score': 4.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00006,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00007,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00008,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00009,2026-W31,0.0,masked,"{'slope_score': 4.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00010,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00011,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00012,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00013,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00014,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00015,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
