spatial_unit_id,iso_week,risk_tier,predicted_next_week_count
GRID-00001,2026-W34,LOW,0
GRID-00002,2026-W34,LOW,0
GRID-00003,2026-W34,LOW,0
GRID-00004,2026-W34,LOW,0
GRID-00005,2026-W34,LOW,0
GRID-00006,2026-W34,LOW,0
GRID-00007,2026-W34,LOW,0
GRID-00008,2026-W34,LOW,0
GRID-00009,2026-W34,LOW,0
GRID-00010,2026-W34,LOW,0
GRID-00011,2026-W34,LOW,0
GRID-00012,2026-W34,LOW,0
GRID-00013,2026-W34,LOW,0
GRID-00014,2026-W34,LOW,0
GRID-00015,2026-W34,LOW,0
GRID-00016,2026-W34,LOW,0
GRID-00017,2026-W34,LOW,0
GRID-00018,2026-W34,LOW,0
GRID-00019,2026-W34,LOW,0
GRID-00020,2026-W34,LOW,0
GRID-00021,2026-W34,LOW,0
GRID-00022,2026-W34,LOW,0
GRID-00023,2026-W34,LOW,0
GRID-00024,2026-W34,LOW,0
GRID-00025,2026-W34,LOW,0
GRID-00026,2026-W34,LOW,0
GRID-00027,2026-W34,LOW,0
GRID-00028,2026-W34,LOW,0
GRID-00029,2026-W34,LOW,0
GRID-00030,2026-W34,LOW,0
GRID-00031,2026-W34,LOW,0
GRID-00032,2026-W34,LOW,0
GRID-00033,2026-W34,LOW,0
GRID-00034,2026-W34,LOW,0
GRID-00035,2026-W34,LOW,0
GRID-00036,2026-W34,LOW,0
GRID-00037,2026-W34,LOW,0
GRID-00038,2026-W34,LOW,0
GRID-00039,2026-W34,LOW,0
GRID-00040,2026-W34,LOW,0
GRID-00041,2026-W34,LOW,0
GRID-00042,2026-W34,LOW,0
GRID-00043,2026-W34,LOW,0
GRID-00044,2026-W34,LOW,0
GRID-00045,2026-W34,LOW,0
GRID-00046,2026-W34,LOW,0
GRID-00047,2026-W34,LOW,0
GRID-00048,2026-W34,LOW,0
GRID-00049,2026-W34,LOW,0
GRID-00050,2026-W34,LOW,0
GRID-00051,2026-W34,LOW,0
GRID-00052,2026-W34,LOW,0
GRID-00053,2026-W34,LOW,0
GRID-00054,2026-W34,LOW,0
GRID-00055,2026-W34,LOW,0
GRID-00056,2026-W34,LOW,0
GRID-00057,2026-W34,LOW,0
GRID-00058,2026-W34,LOW,0
GRID-00059,2026-W34,LOW,0
GRID-00060,2026-W34,LOW,0
GRID-00061,2026-W34,LOW,0
GRID-00062,2026-W34,LOW,0
GRID-00063,2026-W34,LOW,0
GRID-00064,2026-W34,LOW,0
GRID-00065,2026-W34,LOW,0
GRID-00066,2026-W34,LOW,0
GRID-00067,2026-W34,LOW,0
GRID-00068,2026-W34,LOW,0
GRID-00069,2026-W34,LOW,0
GRID-00070,2026-W34,LOW,0
GRID-00071,2026-W34,LOW,0
GRID-00072,2026-W34,LOW,0
GRID-00073,2026-W34,LOW,0
GRID-00074,2026-W34,LOW,0
GRID-00075,2026-W34,LOW,0
GRID-00076,2026-W34,LOW,0
GRID-00077,2026-W34,LOW,0
GRID-00078,2026-W34,LOW,0
GRID-00079,2026-W34,LOW,0
GRID-00080,2026-W34,LOW,0
GRID-00081,2026-W34,LOW,0
GRID-00082,2026-W34,LOW,0
GRID-00083,2026-W34,LOW,0
GRID-00084,2026-W34,LOW,0
GRID-00085,2026-W34,LOW,0
GRID-00086,2026-W34,LOW,0
GRID-00087,2026-W34,LOW,0
GRID-00088,2026-W34,LOW,0
GRID-00089,2026-W34,LOW,0
GRID-00090,2026-W34,LOW,0
GRID-00091,2026-W34,LOW,0
GRID-00092,2026-W34,LOW,0
GRID-00093,2026-W34,LOW,0
GRID-00094,2026-W34,LOW,0
GRID-00095,2026-W34,LOW,0
GRID-00096,2026-W34,LOW,0
GRID-00097,2026-W34,LOW,0
GRID-00098,2026-W34,LOW,0
GRID-00099,2026-W34,LOW,0
GRID-00100,2026-W34,LOW,0
GRID-00101,2026-W34,LOW,0
GRID-00102,2026-W34,LOW,0
GRID-00103,2026-W34,LOW,0
GRID-00104,2026-W34,LOW,0
GRID-00105,2026-W34,LOW,0
GRID-00106,2026-W34,LOW,0
GRID-00107,2026-W34,LOW,0
GRID-00108,2026-W34,LOW,0
GRID-00109,2026-W34,LOW,0
GRID-00110,2026-W34,LOW,0
GRID-00111,2026-W34,LOW,0
GRID-00112,2026-W34,LOW,0
GRID-00113,2026-W34,LOW,0
GRID-00114,2026-W34,LOW,0
GRID-00115,2026-W34,LOW,0
GRID-00116,2026-W34,LOW,0
GRID-00117,2026-W34,LOW,0
GRID-00118,2026-W34,LOW,0
GRID-00119,2026-W34,LOW,0
GRID-00120,2026-W34,LOW,0
GRID-00121,2026-W34,LOW,0
GRID-00122,2026-W34,LOW,0
GRID-00123,2026-W34,LOW,0
GRID-00124,2026-W34,LOW,0
GRID-00125,2026-W34,LOW,0
GRID-00126,2026-W34,LOW,0
GRID-00127,2026-W34,LOW,0
GRID-00128,2026-W34,LOW,0
GRID-00129,2026-W34,LOW,0
GRID-00130,2026-W34,LOW,0
GRID-00131,2026-W34,LOW,0
GRID-00132,2026-W34,LOW,0
GRID-00133,2026-W34,LOW,0
GRID-00134,2026-W34,LOW,0
GRID-00135,2026-W34,LOW,0
GRID-00136,2026-W34,LOW,0
